#deck column:17
#separator:Semicolon
#notetype:Basic_Image_several_answers
#columns:slide;pregunta;imagen_frontal;respuesta;imagen_respuesta;r1;r2;r3;r4;r5;r6;r7;r8;r9;r10;tags;deck
#tags column:16
#html:true
ca.17;En un circuito resistivo puro, ¿hay potencia reactiva?;  ;No;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.18;En un circuito capacitivo puro, ¿hay potencia reactiva?;  ;Sí;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.19;En un circuito inductivo puro, ¿hay potencia reactiva?;  ;Sí;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.20;En un circuito resistivo puro, ¿hay potencia activa?;  ;Sí;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.21;En un circuito capacitivo puro, ¿hay potencia activa?;  ;No;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.22;En un circuito indcutivo puro, ¿hay potencia activa?;  ;No;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.23;¿Qué nos indica el factor de potencia de un circuito?;  ;Es un indicador de la eficiencia con la que se realiza el consumo;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.24;¿Cómo se calcula el factor de potencia de un circuito?;  ;[latex]$\cos \varphi=\frac{P}{S}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.25;En una instalación resistivo-inductiva, ¿qué se debería instalar para mejorar el factor de potencia?;  ;Una batería de condensadores;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.26;¿Cuál es el factor de potencia ideal?;  ;1;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.27;¿Qué elemento se utiliza para medir la potencia activa de un circuito?;  ;Vatímetro;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.28;Si se tienen dos impedancias ([latex]$\bar{Z}$[/latex]) en serie, ¿cuál sería el valor de la impedancia equivalente?;  ;[latex]$2\cdot \bar{Z}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.29;Si se tienen dos impedancias ([latex]$\bar{Z}$[/latex]) en paralelo, ¿cuál sería el valor de la impedancia equivalente?;  ;[latex]$\frac{\bar{Z}}{2}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.30;Según el diagrama de potencias de la figura de una instalación, ¿qué tipo de instalación sería? Resistiva pura, inductiva pura, capacitiva pura, resistiva-inductiva o resistiva-capacitiva;"<img src=""ca_potencia_res_puro_rm.png"">";Resitiva pura;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.31;Según el diagrama de potencias de la figura de una instalación, ¿qué tipo de instalación sería? Resistiva pura, inductiva pura, capacitiva pura, resistiva-inductiva o resistiva-capacitiva;"<img src=""ca_potencia_ind_puro_rm.png"">";Inductiva pura;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.32;Según el diagrama de potencias de la figura de una instalación, ¿qué tipo de instalación sería? Resistiva pura, inductiva pura, capacitiva pura, resistiva-inductiva o resistiva-capacitiva;"<img src=""ca_potencia_cap_puro_rm.png"">";Capacitiva pura;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.33;Según el diagrama de potencias de la figura de una instalación, ¿qué tipo de instalación sería? Resistiva pura, inductiva pura, capacitiva pura, resistiva-inductiva o resistiva-capacitiva;"<img src=""ca_potencia_res_ind_rm.png"">";Resitiva-inductiva;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
ca.34;Según el diagrama de potencias de la figura de una instalación, ¿qué tipo de instalación sería? Resistiva pura, inductiva pura, capacitiva pura, resistiva-inductiva o resistiva-capacitiva;"<img src=""ca_potencia_res_cap_rm.png"">";Resitiva-capacitiva;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#ca;G990::Tema 1
trifasica.1;¿Cuál es la secuencia directa de fases en un sistema trifásico?;  ;[latex]$E_{a}, E_{b} y E_{c}$ [/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.2;¿Cuál es la secuencia inversa de fases en un sistema trifásico?;  ;[latex]$E_{a}, E_{c} y E_{b}$ [/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.3;¿Cuáles son los desfases en secuencia directa en un sistema trifásico equilibrado?;  ;"[latex]$E_{a}=E\angle0,  E_{b}=E\angle-120,  E_{c}=E\angle120 $[/latex]
";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.4;¿Cuáles son los desfases en secuencia inversa en un sistema trifásico equilibrado?;  ;[latex]$E_{a}=E\angle0,  E_{b}=E\angle120,  E_{c}=E\angle-120 $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.5;¿En un sistema trifásico equilibrado en tensiones la relación del módulo y la fase entre la tensión de línea y la de fase es?;  ;[latex]$ U_{linea}/U_{fase} =\sqrt{3} $[/latex]. Secuencia directa 30 grados en adelanto. Secuencia inversa 30 grados en retraso ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.6;¿En un sistema trifásico equilibrado la relación del módulo y la fase entre la tensión de línea y la de fase es?;  ;[latex]$ U_{linea}/U_{fase} =\sqrt{3} $[/latex]. Secuencia directa 30 grados en adelanto. Secuencia inversa 30 grados en retraso;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.7;¿En un sistema trifásico desequilibrado la relación del módulo y la fase entre la tensión de línea y la de fase es?;  ;No existe una relación única y tanto la relación del módulo como la de la fase dependen del desequilibrio existente.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.8;¿En qué casos de un sistema trifásico con el receptor en estrella la corriente a través del neutro es cero?;  ;Sistema trifásico a 3 hilos;  ;Sistema trifásico equilibrado a 4 hilos sin impedancia de neutro;Sistema trifásico equilibrado a 4 hilos con impedancia de neutro;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.9;¿En qué casos de un sistema trifásico con el receptor en estrella la tensión de su neutro es cero?;  ;Sistema trifásico equlibrado a 3 hilos;  ;Sistema trifásico a 4 hilos sin impedancia de neutro;Sistema trifásico equilibrado a 4 hilos con impedancia de neutro;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.10;¿Cuál es la condición para poder medir la potencia total activa en un sistema trifásico utilizando la conexión Aron?;  ;[latex]$ \sum i_{n}=0 $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.11;Usando la conexión Aron, ¿cuál es la relación entre las lecturas de los vatímetros y la potencia total activa del sistema? ¿cómo se conecta dicho vatímetro?;  ;[latex]$ P=W_{a}+W_{b}, P=W_{b}+W_{b} y P=W_{c}+W_{a} $[/latex] (Estando el positivo del voltímetro del vatímetro en la fase de la corriente que pasa por el amperímtro del vatíemtro);"<img src=""aag_aron.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.12;¿Cuál es la condición para poder medir la potencia total reactiva en un sistema trifásico utilizando la conexión Aron?;  ;Poseer un sistena trifásico equilibrado;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.13;Usando la conexión Aron, ¿cuál es la relación entre las lecturas de los vatímetros y la potencia total reactiva del sistema?;  ;[latex]$ Q=\sqrt{3}(W_{a}-W_{b}), Q=\sqrt{3}(W_{b}-W_{c}) y Q=\sqrt{3}(W_{c}-W_{a}) $[/latex] (Estando el positivo del voltímetro del vatímetro en la fase de la corriente que pasa por el amperímtro del vatíemtro)  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.14;¿Cuál es la condición para poder medir la potencia reactiva de una fase en un sistema trifásico utilizando un vatímetro?;  ;Poseer un sistena trifásico equlibrado en tensiones;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.15;Utilizando un vatímetro, ¿cuál es la relación entre la lectura del vatímetro y la potencia reactiva de la fase? ¿cómo se conecta dicho vatímetro?;  ;[latex]Q=W_{a}/\sqrt{3}, Q=W_{b}/\sqrt{3} y Q=W_{c}/\sqrt{3} $[/latex] (Siguiendo la secuencia AB, BC y CA y siendo el positivo el primer subíndice)  ;"<img src=""aag_reactiva.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.16;La fórmula para calcular el módulo de la potencia aparente en un sistema trifásico equilibrado en función de los valores de fase es:;  ;[latex]$  S=3V_{fase}I_{fase} $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.17;La fórmula para calcular el módulo de la potencia aparente en un sistema trifásico equilibrado en función de los valores de línea es:;  ;[latex]$ S=\sqrt{3}V_{linea}I_{linea}  $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.18;¿En un generador trifásico equlibrado en estrella la relación entre las tensiones de línea y de fase es?;  ;[latex]$ U_{linea}/U_{fase} =\sqrt{3} $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.19;¿En un generador trifásico equlibrado en estrella la relación entre las corrientes de línea y de fase es?;  ;[latex]$  I_{linea}=I_{fase} $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.20;¿En un generador trifásico equlibrado en triángulo la relación entre las tensiones de línea y de fase es?;  ;[latex]$ V_{linea}=V_{fase} $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.21;¿En un generador trifásico equlibrado en triángulo la relación entre las corrientes de línea y de fase es?;  ;[latex]$ I_{linea}/I_{fase} =\sqrt{3} $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.22;¿Cómo se agrupan las cargas trifásicas equilibradas para resolver circuitos?;  ;Transformando todas las cargas es estrella;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.23;¿Cómo se agrupan las cargas trifásicas desequilibradas para resolver circuitos?;  ;Transformando todas las cargas es triángulo;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.24;¿Cuántos vatímetros es necesario conectar para medir la potencia activa en un circuito trifásico equilibrado a 4 hilos?;  ;3 vatímetros;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.25;En un sistema trifásico equilibrado a 3 hilos, con dos vatímetros ([latex]$W_a$[/latex] y [latex]$W_b$[/latex]) conectados mediante conexión Aron, ¿cómo se calcularía la potencia activa total?;  ;[latex]$P=W_a + W_b$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.26;En un sistema trifásico equilibrado a 3 hilos, con dos vatímetros ([latex]$W_a$[/latex] y [latex]$W_b$[/latex]) conectados mediante conexión Aron, ¿cómo se calcularía la potencia reactiva total?;  ;[latex]$Q=\sqrt{3}(W_a - W_b)$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.27;En un sistema trifásico desequilibrado a 3 hilos, con dos vatímetros ([latex]$W_a$[/latex] y [latex]$W_b$[/latex]) conectados mediante conexión Aron, ¿cómo se calcularía la potencia activa total?;  ;No se puede calcular con esos datos;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
trifasica.28;En un sistema trifásico desquilibrado a 3 hilos, con dos vatímetros ([latex]$W_a$[/latex] y [latex]$W_b$[/latex]) conectados mediante conexión Aron, ¿cómo se calcularía la potencia reactiva total?;  ;No se puede calcular con esos datos;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G990::Tema 1
filtros.1;¿Qué aspecto tiene un filtro paso bajo basado en un condensador?;  ;  ;"<imp src=""circ_paso_bajo_cond.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.2;¿Qué aspecto tiene un filtro paso alto basado en un condensador?;  ;  ;"<imp src=""circ_paso_alto_cond.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.3;¿Qué aspecto tiene un filtro paso bajo basado en una bobina?;  ;  ;"<imp src=""circ_paso_bajo_bob.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.4;¿Qué aspecto tiene un filtro paso alto basado en una bobina?;  ;  ;"<imp src=""circ_paso_alto_bob.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.5;¿Cómo construyes un filtro paso banda a partir de otros filtros?;  ;  ;"<imp src=""circ_paso_banda.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.6;¿Cómo construyes un filtro rechazo de banda a partir de otros filtros?;  ;  ;"<imp src=""circ_recha_banda.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.7;¿Qué aspecto tiene la gráfica ganancia frente frecuencia en un filtro paso bajo?;  ;  ;"<imp src=""gra_paso_bajo.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.8;¿Qué aspecto tiene la gráfica ganancia frente frecuencia en un filtro paso alto?;  ;  ;"<imp src=""gra_paso_alto.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.9;¿Qué aspecto tiene la gráfica ganancia frente frecuencia en un filtro paso banda?;  ;  ;"<imp src=""gra_paso_banda.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.10;¿Qué aspecto tiene la gráfica ganancia frente frecuencia en un filtro rechazo de banda?;  ;  ;"<imp src=""gra_recha_banda.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.11;¿Cuál es la ganancia en tensión de un filtro paso bajo a la frecuencia de corte?;  ;[latex]$\frac{1}{\sqrt{2}}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.12;¿Cuál es la ganancia en tensión de un filtro paso bajo a una frecuencia de 0 Hz?;  ;[latex]$1$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.13;¿Cuál es la ganancia en tensión de un filtro paso alto a la frecuencia de corte?;  ;[latex]$\frac{1}{\sqrt{2}}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.14;¿Cuál es la ganancia en tensión de un filtro paso banda a la frecuencia de corte más baja?;  ;[latex]$\frac{1}{\sqrt{2}}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.15;¿Cuál es la ganancia en tensión de un filtro paso banda a la frecuencia de corte más alta?;  ;[latex]$\frac{1}{\sqrt{2}}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.16;¿Cuál es la ganancia en tensión de un filtro paso banda a la frecuencia de central?;  ;[latex]$1$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.17;¿Cuál es la ganancia en tensión de un filtro rechazo de banda a la frecuencia central?;  ;[latex]$0$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.18;¿Cuál es la ganancia en tensión de un filtro rechazo de banda a la frecuencia de corte más baja?;  ;[latex]$\frac{1}{\sqrt{2}}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.19;¿Cuál es la ganancia en tensión de un filtro rechazo de banda a la frecuencia de corte más alta?;  ;[latex]$\frac{1}{\sqrt{2}}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.20;¿Cuál es la ganancia de tensión en db de un filtro paso bajo a la frecuencia de corte?;  ;[latex]$-3 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.21;¿Cuál es la ganancia de tensión en db un filtro paso bajo a una frecuencia de 0 Hz?;  ;[latex]$0 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.22;¿Cuál es la ganancia de tensión en db de un filtro paso alto a la frecuencia de corte?;  ;[latex]$-3 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.23;¿Cuál es la ganancia de tensión en db de un filtro paso banda a la frecuencia de corte más baja?;  ;[latex]$-3 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.24;¿Cuál es la ganancia de tensión en db de un filtro paso banda a la frecuencia de corte más alta?;  ;[latex]$-3 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.25;¿Cuál es la ganancia de tensión en db de un filtro paso banda a la frecuencia de central?;  ;[latex]$0 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.26;¿Cuál es la ganancia de tensión en db de un filtro rechazo de banda a la frecuencia de corte más baja?;  ;[latex]$-3 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.27;¿Cuál es la ganancia de tensión en db de un filtro rechazo de banda a la frecuencia de corte más alta?;  ;[latex]$-3 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.28;¿Cuál es la ecuación del cálculo de la frecuencia de corte en un filtro paso bajo basado en condensador?;  ;[latex]$f_c=\frac{1}{2\pi RC}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.29;¿Cuál es la ecuación del cálculo de la frecuencia de corte en un filtro paso bajo basado en bobina?;  ;[latex]$f_c=\frac{R}{2\pi L}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.30;¿Cuál es la ecuación del cálculo de la frecuencia de corte en un filtro paso alto basado en condensador?;  ;[latex]$f_c=\frac{1}{2\pi RC}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.31;¿Cuál es la ecuación del cálculo de la frecuencia de corte en un filtro paso alto basado en bobina?;  ;[latex]$f_c=\frac{R}{2\pi L}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.32;¿Qué relación hay entre los componentes de un filtro paso bajo basado en condensador a la frecuencia de corte?;  ;El módulo de la impedancia de la resistencia coincide con el módulo de la impedancia del condensador;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.33;¿Qué relación hay entre los componentes de un filtro paso bajo basado en bobina a la frecuencia de corte?;  ;El módulo de la impedancia de la resistencia coincide con el módulo de la impedancia de la bobina;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.34;¿Qué relación hay entre los componentes de un filtro paso alto basado en condensador a la frecuencia de corte?;  ;El módulo de la impedancia de la resistencia coincide con el módulo de la impedancia del condensador;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.35;¿Qué relación hay entre los componentes de un filtro paso alto basado en bobina a la frecuencia de corte?;  ;El módulo de la impedancia de la resistencia coincide con el módulo de la impedancia de la bobina;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.36;¿En qué unidades se miden los db?;  ;Los db no tienen unidades;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.37;¿Cuántos db hay que modifcar una señal de 10 W para que pase a valer 20 W?;  ;Se requiere aplicar una ganancia de [latex]$3 db$[/latex] para doblar la potencia;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.38;¿Cuántos db hay que modifcar una señal de 10 W para que pase a valer 100 W?;  ;Se requiere aplicar una ganancia de [latex]$10 db$[/latex] para multiplicar por  [latex]$10$[/latex] la potencia;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.39;¿Cuántos db hay que modifcar una señal de 10 V para que pase a valer 20 V?;  ;Se requiere aplicar una ganancia de [latex]$6 db$[/latex] para doblar la tensión;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.40;¿Cuántos db hay que modifcar una señal de 10 V para que pase a valer 100 V?;  ;Se requiere aplicar una ganancia de [latex]$20 db$[/latex] para multiplicar por  [latex]$10$[/latex] la tensión;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.41;¿Cuántos db hay que modifcar una señal de 10 A para que pase a valer 20 A?;  ;Se requiere aplicar una ganancia de [latex]$6 db$[/latex] para doblar la corriente;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.42;¿Cuántos db hay que modifcar una señal de 10 A para que pase a valer 100 A?;  ;Se requiere aplicar una ganancia de [latex]$20 db$[/latex] para multiplicar por  [latex]$10$[/latex] la corriente;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.43;¿Cuántos db hay que modifcar una señal de 40 W para que pase a valer 20 W?;  ;Se requiere aplicar una ganancia de [latex]$-3 db$[/latex] para reducir la potencia a la mitad;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.44;¿Cuántos db hay que modifcar una señal de 400 W para que pase a valer 40 W?;  ;Se requiere aplicar una ganancia de [latex]$-10 db$[/latex] para reducir la potencia en un factor [latex]$10$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
filtros.45;¿Cuántos db hay que modifcar una señal de 40 V para que pase a valer 20 V?;  ;Se requiere aplicar una ganancia de [latex]$-6 db$[/latex] para reducir la tensión a la mitad;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G990::Tema 2
