#deck column:17
#separator:Semicolon
#notetype:Basic_Image_several_answers
#columns:slide;pregunta;imagen_frontal;respuesta;imagen_respuesta;r1;r2;r3;r4;r5;r6;r7;r8;r9;r10;tags;deck
#tags column:16
#html:true
trifasica.11;Usando la conexión Aron, ¿cuál es la relación entre las lecturas de los vatímetros y la potencia total activa del sistema? ¿cómo se conecta dicho vatímetro?;  ;[latex]$ P=W_{a}+W_{b}, P=W_{b}+W_{c} y P=W_{c}+W_{a} $[/latex] (Estando el positivo del voltímetro del vatímetro en la fase de la corriente que pasa por el amperímetro del vatímetro);"<img src=""aag_aron.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.12;¿Cuál es la condición para poder medir la potencia total reactiva en un sistema trifásico utilizando la conexión Aron?;  ;Poseer un sistena trifásico equilibrado;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.13;Usando la conexión Aron, ¿cuál es la relación entre las lecturas de los vatímetros y la potencia total reactiva del sistema?;  ;[latex]$ Q=\sqrt{3}(W_{a}-W_{b}), Q=\sqrt{3}(W_{b}-W_{c}) y Q=\sqrt{3}(W_{c}-W_{a}) $[/latex] (Estando el positivo del voltímetro del vatímetro en la fase de la corriente que pasa por el amperímetro del vatímetro y el negativo en la fase que no hay conectado un vatímetro)  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.14;¿Cuál es la condición para poder medir la potencia reactiva de una fase en un sistema trifásico utilizando un vatímetro?;  ;Poseer un sistena trifásico equlibrado en tensiones;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.15;Utilizando un vatímetro, ¿cuál es la relación entre la lectura del vatímetro y la potencia reactiva de la fase? ¿cómo se conecta dicho vatímetro?;  ;[latex]$Q=W_{a}/\sqrt{3}, Q=W_{b}/\sqrt{3} y Q=W_{c}/\sqrt{3} $[/latex] (Siguiendo la secuencia AB, BC y CA y siendo el positivo el primer subíndice)  ;"<img src=""aag_reactiva.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.16;La fórmula para calcular el módulo de la potencia aparente en un sistema trifásico equilibrado en función de los valores de fase es:;  ;[latex]$  S=3V_{fase}I_{fase} $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.17;La fórmula para calcular el módulo de la potencia aparente en un sistema trifásico equilibrado en función de los valores de línea es:;  ;[latex]$ S=\sqrt{3}V_{linea}I_{linea}  $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.18;¿En un generador trifásico equlibrado en estrella la relación entre las tensiones de línea y de fase es?;  ;[latex]$ U_{linea}/U_{fase} =\sqrt{3} $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.19;¿En un generador trifásico equlibrado en estrella la relación entre las corrientes de línea y de fase es?;  ;[latex]$  I_{linea}=I_{fase} $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.20;¿En un generador trifásico equlibrado en triángulo la relación entre las tensiones de línea y de fase es?;  ;[latex]$ V_{linea}=V_{fase} $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.21;¿En un generador trifásico equlibrado en triángulo la relación entre las corrientes de línea y de fase es?;  ;[latex]$ I_{linea}/I_{fase} =\sqrt{3} $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.22;¿Cómo se agrupan las cargas trifásicas equilibradas para resolver circuitos?;  ;Transformando todas las cargas es estrella;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.23;¿Cómo se agrupan las cargas trifásicas desequilibradas para resolver circuitos?;  ;Transformando todas las cargas es triángulo;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.29;Se posee una fuente de generación en estrella de un parque eólico el cual alimenta a unas cargas desequilibradas pertenecientes a una industria (ver figura). Si el parque eólico nos encarga realizar unas medidas, que es donde conectamos los vatímetros, ¿qué estarán midiendo los vatímetros y cuál serán los valores de las impedancias del neutro?;"<img src=""aag_analizador.png"">";[latex]$Z_N=0,Z_n \neq 0$[/latex] y [latex]$ P_E = \sum W_{n}= P_Z + P_Z_n $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.30;Se posee una fuente de generación en estrella de un parque eólico el cual alimenta a unas cargas desequilibradas pertenecientes a una industria (ver figura). Si la industria nos encarga realizar unas medidas, que es donde conectamos los vatímetros, ¿qué estarán midiendo los vatímetros y cuál serán los valores de las impedancias del neutro?;"<img src=""aag_analizador.png"">";[latex]$Z_N \neq 0,Z_n = 0$[/latex] y [latex]$ P_Z = \sum W_{n}= P_E - P_Z_N $[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.31;¿Cuál es la fórmula que permite obtener los valores de fase de un sistema trifásico en función de las componentes directa, inversa y homopolar?;  ;  ;"<img src=""aag_homopolar1.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.32;¿Cuál es la fórmula que permite obtener las componentes directa, inversa y homopolar de un sistema trifásico en función de sus valores de fase?;  ;  ;"<img src=""aag_homopolar2.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.33;¿En un sistema trifásico la relación entre el sistema directo de las tensiones de línea y el sistema directo de las tensiones de fase es?;  ;[latex]$ U_{linea}/U_{fase} =\sqrt{3} $[/latex] 30 grados en adelanto;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.34;¿En un sistema trifásico la relación entre el sistema inverso de las tensiones de línea y el sistema inverso de las tensiones de fase es?;  ;[latex]$ U_{linea}/U_{fase} =\sqrt{3} $[/latex] 30 grados en retraso;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
trifasica.35;¿En un sistema trifásico equilibrado de secuencia directa los valores de las  componentes directa, inversa y homopolar son?;  ;[latex]$V_{d}=V_{a}, V_{i}=0, V_{o}=0$ [/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#trifasica;G861::Tema 1. Trifásica
bobinas.1;¿Cuál es la ley de Faraday?;  ;[latex]$e=N\cdot\frac{d\Phi}{dt}$[/latex]. Si una bobina de N espiras ve un flujo magnético que varia con el tiempo, se induce una tensión en dicha bobina.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.2;¿Cuál es la ley de Lenz?;  ;[latex]$e=-N\cdot\frac{d\Phi}{dt}$[/latex]. La tensión inducida se opone a la corriente que produce dicho flujo magnético.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.3;¿Cuál es la relación tensión-corriente en una bobina?;  ;[latex]$u_{L}=L\cdot\frac{di_{L}}{dt}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.4;¿Cuál es la fórmula del coeficiente de autoinducción L en una bobina en un medio lineal?;  ;[latex]$L=N\cdot\frac{\Phi}{i}$[/latex]. Una corriente genera un flujo magnético que crece según aumenta la corriente. En un medio lineal crece indefinidamente aunque en un material real llega un punto que por mucho que aumente la corriente, no aumenta el flujo magnético.;"<img src=""aag_flujo_corriente.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.5;¿Qué representa la L de una bobina en un medio lineal?;  ;Es la pendiente de la curva flujo vs. corriente en un medio lineal. Si L es muy grande, con poca corriente se genera mucho flujo y si L es muy pequeña, con con mucha corriente se genera poco flujo.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.6;¿Qué es M y qué unidades tiene?;  ;Es el coeficiente de inducción mutua y sus unidades son Henrios (H).;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.7;¿Qué es K y cómo oscila su valor entre 0 y 1?;  ;Es el coeficiente de acoplamiento de 2 bobinas. Si las bobinas están perfectamente colocadas y todo el flujo que genera una bobina lo ve la otra (y viceversa), su valor será 1 y si están muy separadas de manera que ninguna línea de flujo de una bobina afecta a la otra (y viceversa), su valor será 0.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.8;¿Cuáles son los pasos de la regla de los puntos para identificar la polaridad de bobinas acopladas?;  ;1. Se elige un sentido para la intensidad en una de las bobinas, colocando un punto por donde entra dicha corriente. 2. Se detecta el sentido del flujo que origina dicha corriente (regla de la mano derecha). 3. Empleando la misma regla, se determina el sentido de la corriente de la segunda bobina que origina un flujo opuesto al de la primera, colocando un punto (•) por donde sale la corriente. ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.9;¿Cuál es el criterio de signos de los términos de la M y L según la regla de los puntos?;  ;A. Si las dos corrientes de las bobinas acopladas entran o salen por terminales correspondientes (con punto) los signos de los términos en M y L coinciden. B. Si una corriente de una bobina entra por el terminal con punto y la de la otra sale por su terminal correspondiente, los signos de los términos en M son opuestos a los de los términos en L. ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.10;¿Cuál es la relación entre los coeficientes de acoplamiento K y de inducción muta M?;  ;[latex]$M=K\sqrt{L_{1}L_{2}}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.11;¿Cuál es la fórmula que permite calcular la energía almacenada es dos bobinas acopladas?;  ;[latex]$W=\frac{1}{2}L_{1}i_{1}^2+\frac{1}{2}L_{2}i_{2}^2\pm Mi_{1}i_{2}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.12;¿Qué es un transformador perfecto?;  ;Aquel transformador cuyo coeficiente de acoplamiento K e igual a 1.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.13;¿Cuál  es el circuito eléctrico equivalente de un transformador perfecto?;  ;  ;"<img src=""aag_transformador_perfecto.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.14;¿Qué es un transformador ideal?;  ;Aquel transformador que: 1) las bobinas tienen reactancias muy grandes  (L1, L2 y M tienden a infinito), 2) el coeficiente de acoplamiento es igual a la unidad (K = 1) y 3) las bobinas primaria y secundaria no tienen pérdidas (R1=R2=0).;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.15;¿Cuál  es el circuito eléctrico equivalente de un transformador ideal?;  ;  ;"<img src=""aag_transformador_ideal.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.16;¿Un transformador con relación 1:n es un transformador elevador o reductor?;  ;Elevador. Por cada espira en el primario hay n espiras en el secundario.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.17;¿Un transformador con relación n:1 es un transformador elevador o reductor?;  ;Reductor. Por cada N espiras en el primario hay 1 espira en el secundario.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.18;En un trasnformador ideal ¿cuál es la relación tensión, corriente, espiras e impedancia entre el primario y el secundario?;  ;[latex]$\frac{V_{1}}{V_{2}}=\frac{N_{1}}{N_{2}}=\frac{-I_{2}}{I_{1}}=\frac{1}{n}=\sqrt{\frac{Z_{i}}{Z_{2}}}$[/latex]. Donde Zi es la impedancia de entrada o también denominada la impedancia del secundario reducida al primario.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.19;¿Cuál es la relación entre la pontecia aparente del primario y la del secundario  en un transformador ideal?;  ;[latex]$S_{1}=S_{2}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
bobinas.20;¿Qué es un autotransformador?;  ;Es un transformador en donde el primario y el secundario se encuentran en el mismo devanado;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#bobinas;G861::Tema 2. Acoplamiento Magnético
filtros.1;¿Qué aspecto tiene un filtro paso bajo basado en un condensador?;  ;  ;"<img src=""circ_paso_bajo_cond.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.2;¿Qué aspecto tiene un filtro paso alto basado en un condensador?;  ;  ;"<img src=""circ_paso_alto_cond.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.3;¿Qué aspecto tiene un filtro paso bajo basado en una bobina?;  ;  ;"<img src=""circ_paso_bajo_bob.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.4;¿Qué aspecto tiene un filtro paso alto basado en una bobina?;  ;  ;"<img src=""circ_paso_alto_bob.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.7;¿Qué aspecto tiene la gráfica ganancia frente frecuencia en un filtro paso bajo?;  ;  ;"<img src=""gra_paso_bajo.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.8;¿Qué aspecto tiene la gráfica ganancia frente frecuencia en un filtro paso alto?;  ;  ;"<img src=""gra_paso_alto.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.9;¿Qué aspecto tiene la gráfica ganancia frente frecuencia en un filtro paso banda?;  ;  ;"<img src=""gra_paso_banda.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.10;¿Qué aspecto tiene la gráfica ganancia frente frecuencia en un filtro rechazo de banda?;  ;  ;"<img src=""gra_recha_banda.png"">";  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.11;¿Cuál es la ecuaciación para calcular la atenuación/ganancia de un sistema en base a la potencia?;  ;[latex]$dB=10\log \frac{P_{o}}{P_{i}}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.12;¿Cuál es la ecuaciación para calcular la atenuación/ganancia de un sistema en base a la tensión?;  ;[latex]$dB=20\log \frac{V_{o}}{V_{i}}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.13;¿Cuál será la ganancia en dB si deseo que un sistema presente un incremento en la potencia del doble?;  ;[latex]$+3 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.14;¿Cuál será la atenuación en dB si deseo que un sistema presente una disminución en la potencia de la mitad?;  ;[latex]$-3 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.15;¿Cuál será la ganancia en dB si deseo que un sistema presente un incremento en la tensión del doble?;  ;[latex]$+6 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.16;¿Cuál será la atenuación en dB si deseo que un sistema presente una disminución en la tensión de la mitad?;  ;[latex]$-6 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.17;¿Qué es el ancho de banda?;  ;Es un rango de frecuencias dentro del cual todos sus valores garantizan que el sistema extrae al menos la mitad de la potencia máxima.;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.18;¿Cuánto vale la potencia en los extremos del ancho de banda?;  ;[latex]$P_{f_{1}}=P_{f_{2}}=\frac{P_{max.}}{2}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.19;¿Cuánto vale la tensión de salida a la frecuencia de corte?;  ;[latex]$V_{0_{f_{c}}}=0,707\cdot V_{max}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.20;¿Qué significado tiene la frecuencia de corte?;  ;Es una frecuencia a la cual el sistema consigue una ganancia o atenuación de 0,707 veces su tensión de entrada.;  ;Es una frecuencia a la cual el sistema consigue una ganancia o atenuación de 2 veces su potencia de entrada.;Es la frecuencia a partir de la cual se considera que el sistema filtra o no filtra.;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.21;¿Cuál será la atenuación o ganancia en dB si deseo que un sistema presente la misma potencia a la entrada que a la salida?;  ;0 dB;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.22;¿Cuál es la ganancia en tensión de un filtro paso bajo a la frecuencia de corte?;  ;[latex]$\frac{1}{\sqrt{2}}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.23;¿Cuál es la ganancia en tensión de un filtro paso bajo a una frecuencia de 0 Hz?;  ;[latex]$1$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.24;¿Cuál es la ganancia en tensión de un filtro paso alto a la frecuencia de corte?;  ;[latex]$\frac{1}{\sqrt{2}}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.25;¿Cuál es la ganancia en tensión de un filtro paso banda a la frecuencia de corte más baja?;  ;[latex]$\frac{1}{\sqrt{2}}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.26;¿Cuál es la ganancia en tensión de un filtro paso banda a la frecuencia de corte más alta?;  ;[latex]$\frac{1}{\sqrt{2}}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.27;¿Cuál es la ganancia en tensión de un filtro paso banda a la frecuencia de central?;  ;[latex]$1$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.28;¿Cuál es la ganancia en tensión de un filtro rechazo de banda a la frecuencia central?;  ;[latex]$0$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.29;¿Cuál es la ganancia en tensión de un filtro rechazo de banda a la frecuencia de corte más baja?;  ;[latex]$\frac{1}{\sqrt{2}}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.30;¿Cuál es la ganancia en tensión de un filtro rechazo de banda a la frecuencia de corte más alta?;  ;[latex]$\frac{1}{\sqrt{2}}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.31;¿Cuál es la ganancia de tensión en db de un filtro paso bajo a la frecuencia de corte?;  ;[latex]$-3 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.32;¿Cuál es la ganancia de tensión en db un filtro paso bajo a una frecuencia de 0 Hz?;  ;[latex]$0 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.33;¿Cuál es la ganancia de tensión en db de un filtro paso alto a la frecuencia de corte?;  ;[latex]$-3 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.34;¿Cuál es la ganancia de tensión en db de un filtro paso banda a la frecuencia de corte más baja?;  ;[latex]$-3 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.35;¿Cuál es la ganancia de tensión en db de un filtro paso banda a la frecuencia de corte más alta?;  ;[latex]$-3 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.36;¿Cuál es la ganancia de tensión en db de un filtro paso banda a la frecuencia de central?;  ;[latex]$0 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.37;¿Cuál es la ganancia de tensión en db de un filtro rechazo de banda a la frecuencia de corte más baja?;  ;[latex]$-3 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.38;¿Cuál es la ganancia de tensión en db de un filtro rechazo de banda a la frecuencia de corte más alta?;  ;[latex]$-3 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.39;¿Cuál es la ecuación del cálculo de la frecuencia de corte en un filtro paso bajo basado en condensador?;  ;[latex]$f_c=\frac{1}{2\pi RC}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.40;¿Cuál es la ecuación del cálculo de la frecuencia de corte en un filtro paso bajo basado en bobina?;  ;[latex]$f_c=\frac{R}{2\pi L}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.41;¿Cuál es la ecuación del cálculo de la frecuencia de corte en un filtro paso alto basado en condensador?;  ;[latex]$f_c=\frac{1}{2\pi RC}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.42;¿Cuál es la ecuación del cálculo de la frecuencia de corte en un filtro paso alto basado en bobina?;  ;[latex]$f_c=\frac{R}{2\pi L}$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.48;¿Cuántos db hay que modifcar una señal de 10 W para que pase a valer 20 W?;  ;[latex]$+3 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.49;¿Cuántos db hay que modifcar una señal de 10 W para que pase a valer 100 W?;  ;[latex]$+10 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.50;¿Cuántos db hay que modifcar una señal de 10 V para que pase a valer 20 V?;  ;[latex]$+6 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.51;¿Cuántos db hay que modifcar una señal de 10 V para que pase a valer 100 V?;  ;[latex]$+20 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
filtros.52;¿Cuántos db hay que modifcar una señal de 10 A para que pase a valer 20 A?;  ;[latex]$+6 db$[/latex];  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;#filtros;G861::Tema 3. Filtros
